GRADUATEYEAR,STUDENTID,กฏหมายพื้นฐานเพื่อคุณภาพชีวิต,การจัดการการดำเนินชีวิต,การตรวจวัดสัญญาณและการดำเนินงานสำหรับอินเทอร์เน็ตของสรรพสิ่ง,การตลาดดิจิทัล,การบริหารการผลิต,การประมวลผลรูปภาพดิจิทัล,การประมวลผลแบบกลุ่มเมฆ,การพัฒนาโปรแกรมประยุกต์บนอุปกรณ์เคลื่อนที่,การพัฒนาโปรแกรมประยุกต์เชิงมัลติมีเดีย,การวิเคราะห์และออกแบบระบบ,การสื่อสารภาษาอังกฤษเพื่อการนำเสนอผลงานด้านเทคโนโลยีคอมพิวเตอร์,การสื่อสารภาษาอังกฤษเพื่อการวิเคราะห์เชิงวิชาการด้านเทคโนโลยีคอมพิวเตอร์,การสื่อสารภาษาอังกฤษเพื่อวัตถุประสงค์ด้านเทคโนโลยีคอมพิวเตอร์,การออกแบบและวิเคราะห์อัลกอริทึม,การเขียนภาษาอังกฤษเพื่อการสื่อสารอย่างมีประสิทธิภาพ,การเขียนโปรแกรมเชิงวัตถุ,การเมือง เศรษฐกิจ  และสังคม,การโปรแกรมบนอินเทอร์เน็ต,คณิตศาสตร์สำหรับวิทยาศาสตร์,คณิตศาสตร์เต็มหน่วยสำหรับวิทยาการคอมพิวเตอร์,คณิตศาสตร์และสถิติในชีวิตประจำวัน,ความมั่นคงปลอดภัยของระบบเครือข่าย,ความรู้พื้นฐานด้านหุ่นยนต์,คอมพิวเตอร์กราฟิกและแอนิเมชัน,คอมพิวเตอร์สารสนเทศขั้นพื้นฐาน,ชีววิทยาเบื้องต้น,ดนตรีวิถีไทยศึกษา,ทักษะชีวิต,ทักษะภาษาไทย,ประชากรและการอนามัยเจริญพันธุ์,ประวัติและพัฒนาการของเทคโนโลยีคอมพิวเตอร์,ประเพณีไทยและศาสนาในไทย,ปรัชญาวิทยาศาสตร์,ปัญญาประดิษฐ์,พลังงานและเทคโนโลยีใกล้ตัว,พีชคณิตเชิงเส้นและการประยุกต์,พื้นฐานทางการเขียนโปรแกรม,ฟิสิกส์เบื้องต้น,ภาพพิมพ์,ภาษา สังคม และวัฒนธรรม,ภาษาอังกฤษพัฒนา,ภาษาอังกฤษพื้นฐาน,ภาษาอังกฤษเชิงวิชาการ,ภาษาโปรแกรม,มนุษย์กับสิ่งแวดล้อม,ระบบฐานข้อมูล,ระบบปฏิบัติการ,วิถีชีวิตในยุคดิจิทัล,วิทยาศาสตร์ข้อมูล,วิธีการเชิงตัวเลข,วิศวกรรมซอฟต์แวร์,สถาปัตยกรรมคอมพิวเตอร์,สถิติวิเคราะห์,สัมมนา,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์,เคมีทั่วไป,เคมีเบื้องต้น,เครือข่ายคอมพิวเตอร์และการสื่อสารข้อมูล,เทคนิคการทำเหมืองข้อมูล,เทคโนโลยีมัลติมีเดียและเว็บ,เว็บเทคโนโลยี,แคลคูลัส,แคลคูลัสสำหรับวิทยาศาสตร์,โครงสร้างข้อมูล,GPAจบ
2562,100239626,B+,,,,,,,,,,,,,C,,C,B,,,B,,,B+,,,D,,,B,A,,C+,C+,C+,C+,,B+,C,,C,C+,C,D,D+,B+,B,C,,,,D+,D+,C,B+,C+,,D+,D+,B,,D+,F,,D+,2.27
2562,100239666,C+,,,,,,,,,,,,,C,,C,B,,,B,,,B,,,D,,,B,A,,C+,C,B,B,,C+,C,,C+,B+,C+,D+,C+,B+,C+,C,,,,D+,D+,A,B+,C+,,C+,C,B+,,C,D+,,C,2.49
2562,100239667,C+,,,,,,,B+,,,,,,C+,,A,,,,C,,D+,B+,,,D,C,B+,B,,,,C+,B,B,,A,D+,,C+,C+,B+,C,C+,B+,B,C,,,,D+,D+,D+,B+,,,C+,C,C+,,B,C,,D,2.44
2562,100239668,B,,,,,,,B+,,,,,,C,,C+,,,,C,,A,B+,,,D+,,A,B,,,,C+,C,B+,,C+,,,C+,B,A,C+,B+,B+,B,C,,,,C,D+,D+,A,,,D+,C,B,,C+,,,D,2.52
2562,100239684,C,,,,,,,,,,,,,C+,,C,B+,,,B+,,A,B,,,D,B+,,C+,,,B,C+,B,B,,C+,C+,,C+,B,B+,C,C+,B+,B+,C,,,,D+,C,C+,A,,,C,C,C+,,B,A,,D+,2.67
2562,100239696,C+,,,,,,,,B,,,,,D,,D,C,,,C,,C+,,,,D,,,B,A,,,C+,B+,B,,C,F,,C+,B+,B,B,D+,C+,D+,C,B+,,,D+,D,D,B+,C,,D,C,C+,,C+,,,D,2.14
2562,100239699,B,,,,,,,A,,,,,,B,,A,B+,,,B+,,C,C,,,C,,,B,,,,C+,B,B+,,A,D+,,C+,A,A,C+,B+,B+,A,C,,,,B+,A,B,C+,C+,,C,C,C+,,C,D+,,D+,2.88
2562,100239728,C+,,,,,,,,B,,,,,C,,D,C+,,,D+,,B,,,,D+,A,,B,A,,,C,C,C+,,C+,D,,C+,B+,B+,B,C,C+,C,C,,,,D+,D,D+,B,C+,,C,C,C+,,B,,,D,2.31
2562,100239743,C+,,,,,,,C+,,,,,,C,,D,C+,,,C,,,C,,,D,B+,,C+,,,,C+,C+,C+,,C,D+,,C+,A,B+,C,B,B+,C+,C,,,,D+,C+,D+,A,,,D,D,B,,C+,,,C+,2.18
2562,100239751,A,,,,,,,A,B+,,,,,A,,A,,,,A,,,B+,,,A,A,A,B+,,,,B,A,A,,A,A,,B,A,A,A,A,A,B+,B+,,,,A,A,A,A,A,,B+,B+,B,,A,B,,A,3.79
2562,100239765,B,,,,,,,,A,,,,,A,,B+,,,,B+,,,A,,,C,B,B+,B+,,,B,B,B,A,,B,B,,C+,B,B,C,B,B,C+,C,,,,C+,B+,A,B,,,C+,C,A,,B+,B,,D+,3.04
2562,100239799,C+,,,,,,,C+,B,,,,,C,,C+,,,,B,,,,,,B,A,A,B,A,,B,C+,B,A,,B+,C+,,C,B+,C,D,C,A,A,C,,,,D+,C+,B+,B+,,,C+,C,C,,C+,C+,,C,2.78
2562,100239815,B,,,,,,,B,,,,,,C,,D,,,,C,,,C+,,,D+,B+,A,B,,,,C+,B+,B+,,C+,C,,B,A,B+,C,C,B+,B+,C,,,,B+,D,C,A,,,C,C,C+,,C,D+,,D,2.58
2562,100239854,B,,,,,,,C+,,,,,,C,,C,,,,C+,,,D+,,,D,A,C+,B,,,C+,C+,C,B,,C+,D+,,C+,B+,B+,B,B,B,C+,C,,,,C+,D+,D+,A,,,D+,C,C+,,C+,,,D+,2.36
2562,100239887,B,,,,,,,A,,,,,,A,,A,B+,,,A,,,A,,,B,,,B+,,,,C+,A,B+,,A,B+,,C+,A,A,A,A,A,A,A,,,,A,A,A,A,A,,B,A,A,,A,A,,A,3.78
2562,100239895,B,,,,,,,C+,,,,,,C+,,C,C,,,B,,B,B+,,,D,,,C+,,,,C+,D+,B,,C+,D+,,C,B,C+,C,B,B+,D+,D+,,,,C+,B+,C+,B,,,D+,C,C+,,C,D+,,C+,2.29
2562,100239902,B+,,,,,,,B,,,,,,C,,B+,C+,,,C+,,,,,,D+,,,C+,,,,C+,B,B,,C+,D+,,D+,B+,B,C,B,C+,C,A,,,,B+,C+,D+,B,B,,C,C,A,,B,D+,,C+,2.55
2562,100239914,D+,,,,,,,C,,,,,,C,,C,,,,B,,,C+,,,D,B,A,C+,B+,,,C+,C+,B,,C+,C,,B+,A,C,D+,B,B+,D+,C,,,,C,C,C+,A,,,C,C,B,,C,D,,D,2.28
2562,100239934,B,,,,,,,A,,,,,,C+,,B+,B,,,C+,,D,,,,D,,,B,,,,C+,D+,B,,A,D+,,C+,B+,C+,D+,B,B+,C+,C+,,,,C+,B,C,B,,,C,C,C,,C+,D+,,C,2.39
2562,100240018,C+,,,,,,,,B,,,,,C,,C,,,,C,,,B+,,,D,,A,B,,,C+,C+,D+,B+,,C+,D,,B,D+,C+,B,C+,B+,D,C,,,,D+,C,C,B,,,D+,D+,C+,,C+,,,D,2.19
2562,100240030,B+,,,,,,,A,,,,,,A,,A,C,,,B+,,,A,,,D+,,,B+,,,,C+,B+,B,,B+,C,,C+,A,A,C+,B+,A,B+,C,,,,B+,A,C+,B+,A,,C,C,B,,B+,C+,,C,3.08
2562,100240059,A,,,,,,,B+,,,,,,B+,,A,,,,B+,,,B,,,C+,A,A,B+,A,,,C+,B+,A,,A,C+,,B,A,B+,C+,B,A,B+,C+,,,,B,A,B,A,C+,,C+,C,C+,,B+,C+,,A,3.25
2562,100240060,C+,,,,,,,C,,,,,,D,,B+,C,,,B,,,C,,,D+,A,,B,,,C,C+,C,B,,C+,D+,,C,A,A,B,C,B+,C,C,,,,D+,B,B+,B,,,D+,D+,C+,,C,,,D,2.36
2562,100240078,C+,,,,,,,C+,C+,,,,,B,,C,A,,,B,,,C,,,C,,,B,,,,C+,B,B+,,C+,C,,C+,C+,C,D,D+,B+,C+,C,,,,C+,B,D+,A,B+,,C,D+,C+,,D+,,,C+,2.38
2562,100240098,C,,,,,,,,B+,,,,,C,,D,,,,B,,,B+,,,D+,C,C+,B,,,B,C,D+,B+,,C,D+,,C+,A,B+,B+,C+,B,D,C,,,,C,C,C,B+,,,D+,C,C+,,C,,,D+,2.32
2562,100240108,C+,,,,,,,,B+,,,,,C,,C,,,,B,,,A,,,D+,B+,B+,C+,,,C+,C,C,C,,C,D+,,C+,B,C+,C,C,B,D+,C+,,,,D,C+,C,B+,,,D+,C,C+,,C+,,,D+,2.28
2563,100239308,C,,,,,,,C,B+,,,,,D,,,D+,,,,,,D,,,D,A,,C+,,,,C+,D+,B+,,C,D,,C+,A,B+,C,C,B+,C+,C,,,,D,,,B,,,D,D,C+,,C+,,,C+,2.14
2563,100239325,B,,,,,,,,,,,,,C,,C,D+,,,C,,,,,,D,B,,B,A,,C+,C+,C,B,,C+,D+,,D+,B+,C,C,D+,A,C,C,,,,D+,D,D,B+,D+,,D,D+,B,,D+,,,D,2.01
2563,100239473,C+,,,,,,,,B+,,,,,D,,D,,,,D+,,,,,,D,B+,B,C+,,,,C+,D,B,,C+,D,,C+,B,C+,C,C,B,D+,C,,,D,D+,D+,D,C+,,,,D,D+,,C,,,D,2
2563,100239505,B+,,,,,,,B,B+,,,,,C,,C,,,,C,,A,,,,D+,B,A,C+,,,,C+,C+,B+,,B,D+,,C,A,A,C,C,B,B+,C,,,,D,B,C,A,,,C,C,C+,,B+,F,,D+,2.6
2563,100239827,C,,,,,,D+,,B,,,,,D+,,F,,,,C,,,,,,,A,B,C+,C+,,C+,C,D,C+,,D+,F,,C+,A,D+,B+,C,B,F,C,,,D,D,D+,,C+,,,D,D,C+,,C,,,D,2
2563,100239844,C+,,,,,,,,B,,,,,C,,D,,,,C,,,,,,D,B,D+,B,,,,C,C+,B,,C+,D+,,F,C,B,C,B,B+,B+,C+,,,,D+,D+,D,C,C,,D,D,C+,,C,F,,D,2.17
2563,100239990,C,,,,,,,,B,,,,,D,,C,D+,,,C+,,,,,,D,,B+,C+,A,,C+,C,D+,B,,D+,D+,,C,B,B,D+,C,B+,D+,C,,,,C,C,D+,C+,C+,,D,F,C+,,C+,F,,D,2.15
2563,100248951,,A,,,,D+,B,B,A,C+,A,D+,C+,C,,B+,,D+,D,D,,C+,,C+,B+,D,,,C+,,A,,,C+,,C,B,,,,B+,B,C,,,D,B+,B+,,,B,C+,D,A,,D,,D+,C,,,,D,C,2.41
2563,100248958,A,,C,,,C,,C,B,B+,C+,D+,C+,B,,C+,C+,C+,C,C+,,,B,,C+,D,B+,,C,,B+,,,C+,,C+,A,,,,C,C,C,,B+,B+,B,C+,D+,C+,B,B+,D,B+,,D,,C,B,,,,D,C,2.49
2563,100248986,A,,B,,,,B+,,,C+,B,C+,B,B+,,B,B,B,F,B,,,C+,,B+,D,,,B,,B+,B,,B,A,B,B,,,B+,C+,C+,C,,,B+,B,A,B,C,B+,C+,D+,A,,D+,,C,C+,,,,D+,C,2.84
2563,100249007,,,,,,,B,D,B,B,C+,C+,C+,D+,,A,C+,B,B,B+,,C+,,B+,C+,D,,,C,,A,,,C,B+,B,A,,,C+,B,C+,C,,,C,B,C+,D+,C+,B,C,D,B,,D,,C,B,,,,D,C,2.49
2563,100249020,,,A,,,A,A,,A,A,A,A,A,B,,A,B,B+,C,A,,A,A,,B,D+,,,C+,,A,,,A,A,A,A,,,B,A,A,A,,,B,B+,B+,,A,A,B+,C+,B+,,D+,,A,B+,,,,D+,B,3.45
2563,100249022,,A,B,,,A,,C+,B+,A,B,C+,B,C,,C+,,A,D+,C,C+,,B,,C+,D+,,A,C+,,A,,,C+,,B,C+,,,C+,B,C+,C+,,,B+,B+,B+,C+,C+,A,B,D,A,,D,,C,C+,,,,D+,D+,2.71
2563,100249048,,A,B+,,,B,,D+,B,B+,A,C+,B,C+,,B,,A,D,C+,,,C,,C,D+,,A,B,,A,,,A,,B,A,,,B+,B,B,C,,,B,B+,B,C+,B,B,C,D,A,,D+,,D,C,,,,C,D+,2.73
2563,100249055,,,C+,,,B,,,C+,C+,B,C,C,C,,C,,D,D,D,,,C,,D+,F,,A,C,,C+,,,C+,B+,,A,,,C+,D+,C+,C,,,C,C+,C+,C,D,C,C+,D,A,,D,,F,C,,,,,D+,2.1
2563,100249069,,,A,,,B,,,,C+,B,C+,C,C+,,B,,C+,,C+,,,B,,C+,F,,,C,,A,C+,,D+,B+,C,B+,,,D+,D+,D+,C,,,A,C+,C+,B,D,C+,C+,D,C+,,D,,D+,C,,,,C,C,2.38
2563,100249075,,,C+,,,B+,B,,,D+,C+,D+,D+,C,,C+,B,B,D+,C,,,C,,C+,F,,,C,,A,C+,,B,A,B,B+,,,B,C,C,D+,,,B,C,A,B,C,C+,C,D,B+,,D,,D+,B,,,,D+,D,2.39
2563,100249085,,A,A,,,A,,A,A,A,A,A,A,B,,A,,A,C+,B+,,,A,,A,C,,A,B,,A,,,A,,A,A,,,C+,A,A,A,,,A,A,A,A,A,A,A,C,A,,C,,C,B+,,,,C,C,3.53
2563,100249097,A,,B,,,,C+,,B,B,B+,C,C+,B,,C+,,B,C+,B,,,B,,C+,D,,,C,,B+,B+,,B,,B+,B+,,,B,D+,C,C,,,B+,B,C+,B+,B+,B+,C+,C+,B+,,D+,,C,B,,,,C,C,2.73
2563,100249098,,A,,,,,C,C+,B+,C+,B+,C+,B,C,,C,,C,D,D+,,B,,C+,C,D+,,,C,,A,C+,,C+,,C,C+,,,,B,B,C,,,C,C+,B+,,D+,B,C+,F,A,,D,,D,C+,,,,D,D,2.28
2563,100249141,,A,B+,,,A,A,A,A,A,A,B+,B,B+,,A,,A,B,B+,,,A,,A,D,,,B,,A,,,A,,A,A,,,,A,B+,C+,,,A,C+,A,,B+,B,A,C+,A,,D,,C+,C,,,,C+,A,3.43
2563,100249160,,A,A,,,A,,C,A,B,B+,A,B+,C,,C+,,A,F,C+,,,C+,,B,D+,,A,C+,,A,,,A,,B,B,,,B,A,B+,B,,,B,C+,A,B+,C,B+,A,D,A,,D,,C,B,,,,D+,C,2.94
2563,100249183,,,A,,,B,B,,,B,B+,B,D+,B,,A,C+,C+,C+,C+,,,B+,,C,D,C+,B+,C,,A,,,B,C+,B+,B+,,,,C,C+,B+,,,A,C+,B,A,D+,C+,C+,C,B+,,D,,C,C+,,,,D+,C+,2.72
2563,100249194,,,,,,,A,B,B+,B+,B+,B,C,C+,,B,C+,C+,D+,C+,,B,,B+,C+,D,,,C+,,B+,,,B,A,B,B,,,C+,C+,C,B,,,B,B,A,C+,B,B,C+,D,B+,,D,,C,C+,,,,D+,C,2.65
2563,100249208,,A,C+,,,,C,D+,B+,C,C,D,D,C,,D,,C,D,D,,,C,,C,D,,,D+,,B+,C+,,D+,,C,C,,,,C,C,D,,,B+,C+,B,,D,C+,C,D,C+,,D,,D+,C+,,,,D+,D+,2
